@relation corpus_simple
@attribute character_count real
@attribute word_count real
@attribute average_word_length real
@attribute most_common_stop_word {the, he, to, and, a, of, it, you, i, his, in, she, for, was, they, an, him, her, when, their, or, my, we}
@attribute title_word_count real
@attribute adjective_percent real
@attribute adverb_percent real
@attribute noun_percent real
@attribute pronoun_percent real
@attribute verb_percent real
@attribute class {arabiannights, italiantyrol, russian, australian, canadian, german, japanese, aesop, armenian, chinese, norse, hawaiian, southernindia, english, mexicocity, slavic, indian, eskimo, welsh, czech, eapoe, hindi, dutch, georgian, finnish, iroquois, apache, irish, filipino, kingarthur, serbian, mothergoose, celtic, hamiltonwrightmabie, korean, hanschristiananderson, viking}
@data
%
% 1621 instances
%
11951,2851,4.191862504384426,the,10,0.045384615384615384,0.02564102564102564,0.13,0.041025641025641026,0.09435897435897436,arabiannights
1188,246,4.829268292682927,the,5,0.05555555555555555,0.023391812865497075,0.19298245614035087,0.008771929824561403,0.08771929824561403,italiantyrol
8316,1937,4.293236964377904,the,6,0.04775900073475386,0.03783982365907421,0.15907421013960324,0.009919177075679648,0.08119030124908155,russian
8266,1988,4.1579476861167,he,4,0.047453703703703706,0.03510802469135803,0.13001543209876543,0.017746913580246913,0.1111111111111111,australian
5207,1316,3.9566869300911853,the,5,0.03604651162790698,0.03313953488372093,0.13372093023255813,0.02732558139534884,0.10697674418604651,canadian
1045,238,4.390756302521009,the,7,0.024271844660194174,0.03398058252427184,0.1407766990291262,0.01699029126213592,0.09951456310679611,australian
2586,579,4.466321243523316,the,3,0.055415617128463476,0.0327455919395466,0.13602015113350127,0.010075566750629723,0.10075566750629723,german
26231,6273,4.181571815718157,the,7,0.04918032786885246,0.03576751117734724,0.15486835568802781,0.02136115250869349,0.09649776453055142,japanese
323,90,3.588888888888889,the,5,0.014084507042253521,0.014084507042253521,0.14084507042253522,0.04225352112676056,0.09154929577464789,aesop
12844,3013,4.262860935944242,the,2,0.05821107430194037,0.019876952200662566,0.14813061997160434,0.01159488878371983,0.09039280643634642,armenian
